station_id,observations,mean_demand,median_demand,std_demand,min_demand,max_demand,first_observation,last_observation,station_name,corridor
02300,4320,293.96921296296296,158.0,279.2946690033143,29,1472,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Calle 100 - Marketmedios,Autonorte
03000,4320,258.4259259259259,153.0,216.82747154981146,48,1252,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Portal Suba,Suba
05000,4320,342.0578703703704,201.0,288.81064743989015,59,1944,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Portal Américas,Américas
05100,4320,591.0625,392.0,391.05814536345554,159,2065,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Banderas,Américas
06000,4320,510.94375,340.5,343.00521467412744,127,1789,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Portal El Dorado – C.C. NUESTRO BOGOTÁ,Calle 26
06111,4320,238.89143518518517,207.0,169.9477645278168,14,835,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Universidades – CityU,Calle 26
07105,4320,272.5898148148148,213.5,217.4367979228882,42,1313,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Movistar Arena,NQS
07107,4320,281.02916666666664,248.0,198.73356987573726,17,982,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Universidad Nacional,NQS
07111,4320,683.7166666666667,452.0,459.3635366568718,159,2284,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Ricaurte - NQS,NQS
09000,4320,217.86828703703705,128.0,183.96227104914396,33,1071,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Portal Usme,Caracas
09122,4320,249.79930555555555,134.0,234.4085525946127,22,1249,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Calle 72,Caracas
10009,4320,337.92060185185187,266.0,270.6608403933674,50,1434,2026-07-26 00:00:00-05:00,2026-09-08 23:45:00-05:00,Museo Nacional,Carrera 7-10
